,功率
1681,562.1
1682,498.0
1683,391.5
1684,457.0
1685,615.1
1686,442.9
1687,528.4
1688,771.4
1689,733.7
1690,813.1
1691,754.3
1692,610.9
1693,492.3
1694,478.9
1695,668.4
1696,294.8
1697,359.9
1698,524.4
1699,451.5
1700,288.7
1701,588.0
1702,553.8
1703,726.1
1704,867.4
1705,531.3
1706,784.8
1707,1023.4
1708,553.0
1709,563.3
1710,1092.3
1711,919.2
1712,917.9
1713,1195.3
1714,1343.3
1715,1541.3
1716,1377.4
1717,1171.9
1718,1556.2
1719,1471.1
1720,1552.2
1721,1114.6
1722,1548.8
1723,1348.4
1724,1546.7
1725,1544.4
1726,1416.2
1727,1544.4
1728,1547.6
1729,1300.4
1730,1079.2
1731,1147.0
1732,891.2
1733,917.7
1734,991.2
1735,892.2
1736,1017.8
1737,749.9
1738,941.7
1739,900.0
1740,1007.8
1741,1023.2
1742,997.9
1743,1108.3
1744,891.6
1745,1115.5
1746,850.3
1747,919.4
1748,999.8
1749,1129.4
1750,1134.8
1751,1187.5
1752,1109.1
1753,1346.1
1754,1273.2
1755,1208.1
1756,1338.3
1757,1294.4
1758,1175.5
1759,1183.3
1760,1429.0
1761,1363.3
1762,1151.7
1763,1293.2
1764,1214.9
1765,1106.6
1766,1290.5
1767,1368.0
1768,1363.1
1769,1386.1
1770,1214.2
1771,1007.6
1772,1292.1
1773,1163.5
1774,1010.2
1775,1279.7
1776,960.5
1777,817.3
1778,1326.2
1779,886.1
1780,1016.1
1781,819.2
1782,1489.7
1783,1525.9
1784,1128.7
1785,944.7
1786,1401.2
1787,1545.9
1788,1203.7
1789,1109.8
1790,1353.4
1791,762.9
1792,686.1
1793,917.1
1794,775.0
1795,556.1
1796,717.7
1797,599.5
1798,419.1
1799,431.7
1800,558.0
1801,395.0
1802,329.8
1803,388.1
1804,560.2
1805,394.4
1806,514.4
1807,480.3
1808,550.7
1809,677.7
1810,729.7
1811,684.6
1812,891.8
1813,788.8
1814,623.1
1815,567.9
1816,1311.1
1817,737.3
1818,789.9
1819,977.7
1820,1036.7
1821,1426.1
1822,865.7
1823,902.6
1824,977.5
1825,1132.7
1826,1512.2
1827,1548.4
1828,1317.0
1829,990.8
1830,1456.6
1831,1322.0
1832,1236.1
1833,1238.4
1834,1509.0
1835,1405.0
1836,1057.3
1837,1408.4
1838,1099.2
1839,1146.8
1840,1127.9
1841,756.8
1842,897.3
1843,1177.8
1844,1087.4
1845,825.9
1846,773.0
1847,1127.7
1848,717.3
1849,741.0
1850,1233.4
1851,990.4
1852,727.8
1853,865.9
1854,641.2
1855,682.7
1856,682.1
1857,596.6
1858,773.0
1859,1251.3
1860,1080.1
1861,759.2
1862,1032.1
1863,745.0
1864,649.2
1865,844.0
1866,774.3
1867,607.9
1868,529.8
1869,785.0
1870,581.6
1871,707.6
1872,637.2
1873,762.5
1874,950.8
1875,536.3
1876,704.8
1877,573.0
1878,928.0
1879,1000.9
1880,700.4
1881,1081.3
1882,705.0
1883,791.2
1884,723.6
1885,563.3
1886,732.0
1887,691.5
1888,767.1
1889,658.7
1890,454.6
1891,690.3
1892,747.1
1893,709.5
1894,802.9
1895,1095.7
1896,872.9
1897,732.4
