,mw
1294,1172.285
1295,1068.607
1296,954.739
1297,867.822
1298,805.673
1299,795.506
1300,783.463
1301,779.414
1302,788.681
1303,813.449
1304,835.378
1305,857.252
1306,852.846
1307,813.513
1308,847.554
1309,873.892
1310,879.528
1311,908.507
1312,994.277
1313,1070.598
1314,1105.159
1315,1090.617
1316,1113.848
1317,1097.569
1318,1032.82
1319,945.843
1320,866.921
1321,826.374
1322,788.632
1323,771.062
1324,765.713
1325,775.094
1326,784.948
1327,831.501
1328,877.231
1329,923.702
1330,994.868
1331,1073.73
1332,1145.891
1333,1262.912
1334,1400.041
1335,1448.574
1336,1468.187
1337,1574.03
1338,1558.85
1339,1501.197
1340,1468.563
1341,1423.655
1342,1329.092
1343,1206.747
1344,1085.389
1345,996.015
1346,936.575
1347,896.211
1348,880.171
1349,876.071
1350,883.887
1351,927.418
1352,988.878
1353,1026.245
1354,1055.225
1355,1111.667
1356,1136.404
1357,1168.608
1358,1222.391
1359,1269.254
1360,1327.235
1361,1395.231
1362,1404.628
1363,1363.971
1364,1316.099
1365,1250.423
1366,1112.817
1367,986.526
1368,888.908
1369,830.392
1370,798.686
1371,783.054
1372,786.184
1373,817.262
1374,877.084
1375,944.582
1376,1003.076
1377,1043.083
1378,1002.535
1379,957.78
1380,972.485
1381,997.913
1382,1043.83
1383,1118.657
1384,1234.711
1385,1349.321
1386,1405.061
1387,1393.213
1388,1346.323
1389,1266.121
1390,1150.391
1391,1059.443
1392,988.549
1393,912.284
1394,871.888
1395,855.343
1396,851.091
1397,881.112
1398,939.91
1399,1018.668
1400,1055.045
1401,1091.53
1402,1155.575
1403,1228.154
1404,1312.209
1405,1415.884
1406,1494.425
1407,1569.24
1408,1661.007
1409,1697.64
1410,1662.734
1411,1543.313
1412,1408.097
1413,1323.207
1414,1201.959
1415,1069.382
1416,977.805
1417,921.044
1418,877.649
1419,855.621
1420,852.264
1421,898.652
1422,952.459
1423,1014.767
1424,1036.933
1425,1069.103
1426,1102.563
1427,1169.192
1428,1244.626
1429,1291.474
1430,1337.462
1431,1414.272
1432,1494.824
1433,1469.594
1434,1389.241
1435,1333.241
1436,1328.638
1437,1283.637
1438,1185.48
1439,1085.324
1440,994.075
1441,924.33
1442,872.985
1443,859.795
1444,860.142
1445,875.372
1446,946.993
1447,1019.848
1448,1059.843
1449,1053.774
1450,1076.865
1451,1121.987
1452,1162.791
1453,1225.521
1454,1314.887
1455,1406.337
1456,1493.968
1457,1535.632
1458,1532.621
1459,1474.719
1460,1424.132
1461,1358.783
1462,1236.745
1463,1112.473
1464,1006.385
1465,928.807
1466,879.64
1467,849.383
1468,840.865
1469,837.519
1470,843.713
1471,876.799
1472,920.211
1473,976.168
1474,1004.737
1475,1034.845
1476,1102.883
1477,1170.337
1478,1244.542
1479,1298.399
1480,1344.356
1481,1391.993
1482,1386.731
1483,1347.988
1484,1332.768
1485,1289.219
1486,1202.021
1487,1102.67
1488,996.795
1489,927.479
1490,880.913
1491,852.079
1492,832.611
1493,821.042
1494,833.651
1495,851.015
1496,889.671
1497,957.815
1498,1013.526
1499,1094.742
1500,1144.696
1501,1207.655
1502,1309.686
1503,1411.193
1504,1452.126
