date,site1,site2,site3,site4,site5,site6,site7,OT
2017/10/2 13:30,6426.5,8295,8080.7,8242.9,8629,9005,9794.2,9999.1
2017/10/2 13:45,6422.5,8291,8083.3,8243.8,8629.5,9013,9786.4,10010
2017/10/2 14:00,6424.2,8289.4,8091.2,8250.6,8635.9,9015.5,9788,10025
2017/10/2 14:15,6428.9,8288.8,8102.4,8261.4,8645.9,9016.9,9797.6,10042
2017/10/2 14:30,6435.2,8289.4,8115.7,8274.8,8658.1,9019.8,9812.8,10061
2017/10/2 14:45,6441.4,8291.6,8130.2,8289.3,8671.2,9026.3,9831,10081
2017/10/2 15:00,6447.7,8294.5,8144.4,8303.6,8683.9,9034.7,9849.8,10101
2017/10/2 15:15,6454.4,8298.6,8158.7,8318,8696.6,9045.6,9868.7,10121
2017/10/2 15:30,6461.7,8303.9,8173.4,8332.7,8709.8,9058.9,9887.9,10142
2017/10/2 15:45,6469.9,8310.6,8188.9,8348.3,8723.9,9074.4,9907.8,10164
2017/10/2 16:00,6477.3,8316.1,8203.5,8363,8737.2,9087.6,9927,10185
2017/10/2 16:15,6484.2,8321.3,8217.2,8376.9,8750,9100.2,9945,10204
2017/10/2 16:30,6491.1,8326.8,8230.7,8390.6,8762.6,9112.9,9962.3,10222
2017/10/2 16:45,6498.4,8333,8244.4,8404.5,8775.4,9126.4,9979.5,10240
2017/10/2 17:00,6504.3,8337.7,8256.1,8416.4,8786.4,9137.8,9994.4,10256
2017/10/2 17:15,6509.2,8341.7,8266.3,8426.9,8796,9148.1,10007,10269
2017/10/2 17:30,6513.7,8345.5,8275.7,8436.4,8804.8,9157.9,10017,10282
2017/10/2 17:45,6518.5,8349.4,8284.9,8445.7,8813.6,9167.5,10027,10294
2017/10/2 18:00,6523.2,8353.2,8293.9,8455,8822.3,9176.6,10036,10305
2017/10/2 18:15,6527.8,8356.9,8302.9,8464,8830.9,9185.5,10045,10317
2017/10/2 18:30,6532.3,8360.5,8311.7,8473.1,8839.4,9194.1,10054,10328
2017/10/2 18:45,6536.8,8364.1,8320.5,8482,8847.9,9202.4,10063,10340
2017/10/2 19:00,6538.9,8365.7,8326.3,8487.9,8853.2,9208.7,10068,10348
2017/10/2 19:15,6539.6,8366.4,8329.8,8491.4,8856.2,9213.8,10069,10353
2017/10/2 19:30,6539.8,8366.6,8331.8,8493.4,8858,9218.1,10068,10357
2017/10/2 19:45,6540.2,8366.8,8333.6,8495.1,8859.6,9221.8,10065,10359
2017/10/2 20:00,6541.5,8367.4,8336.5,8498,8862.5,9225.7,10063,10363
2017/10/2 20:15,6543.2,8368.2,8340.2,8501.7,8866.2,9229.3,10063,10368
2017/10/2 20:30,6544.9,8368.8,8344.3,8505.8,8870.3,9232.5,10063,10374
2017/10/2 20:45,6546.3,8369,8348.3,8509.9,8874.1,9235.2,10064,10379
2017/10/2 21:00,6549.9,8371,8355.1,8516.7,8880.9,9239.2,10068,10387
